"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","52","12480",".467","14.8",NA,".592",".256",".155",".096",".085",".408",NA,".542",".686",".427",".470",".399",".359",NA,".517",".838",NA,".061","244",NA,".249","656",NA,".236",".370"
"3","2","Boston Celtics","54","13160",".434","15.5",NA,".601",".187",".215",".103",".097",".399",NA,".494",".709",".396",".401",".398",".343",NA,".461",".797",NA,".045","202",NA,".256","629",NA,".209",".365"
"4","3","Brooklyn Nets","52","12530",".444","14.2",NA,".598",".268",".161",".092",".078",".402",NA,".520",".664",".395",".417",".408",".331",NA,".491",".784",NA,".053","216",NA,".274","715",NA,".238",".343"
"5","4","Chicago Bulls","52","12505",".464","13.5",NA,".633",".287",".176",".092",".077",".367",NA,".522",".663",".412",".394",".402",".365",NA,".516",".828",NA,".055","228",NA,".289","718",NA,".223",".432"
"6","5","Charlotte Hornets","53","12820",".463","14.7",NA,".562",".251",".173",".081",".057",".438",NA,".545",".687",".436",".411",".445",".359",NA,".520",".824",NA,".069","284",NA,".256","671",NA,".259",".376"
"7","6","Cleveland Cavaliers","53","12720",".441","13.8",NA,".615",".290",".160",".091",".074",".385",NA,".506",".602",".424",".423",".411",".337",NA,".509",".814",NA,".058","231",NA,".271","656",NA,".251",".357"
"8","7","Dallas Mavericks","53","12795",".455","14.0",NA,".620",".236",".202",".109",".073",".380",NA,".527",".691",".437",".436",".378",".339",NA,".517",".831",NA,".056","215",NA,".252","652",NA,".258",".379"
"9","8","Denver Nuggets","52","12530",".468","14.2",NA,".604",".225",".214",".098",".068",".396",NA,".551",".735",".465",".450",".363",".340",NA,".526",".817",NA,".059","237",NA,".263","701",NA,".241",".368"
"10","9","Detroit Pistons","52","12530",".472","13.9",NA,".617",".249",".215",".085",".068",".383",NA,".538",".669",".468",".421",".422",".367",NA,".538",".822",NA,".061","246",NA,".281","704",NA,".255",".414"
"11","10","Golden State Warriors","53","12770",".429","14.8",NA,".582",".181",".252",".085",".064",".418",NA,".500",".681",".436",".409",".363",".330",NA,".491",".830",NA,".046","193",NA,".272","663",NA,".241",".378"
"12","11","Houston Rockets","52","12505",".477","14.3",NA,".581",".274",".164",".081",".062",".419",NA,".567",".701",".449",".467",".422",".352",NA,".495",".797",NA,".070","287",NA,".263","715",NA,".239",".385"
"13","12","Indiana Pacers","54","13110",".470","13.7",NA,".641",".247",".207",".109",".079",".359",NA,".534",".678",".454",".440",".426",".354",NA,".486",".783",NA,".060","249",NA,".276","721",NA,".217",".383"
"14","13","Los Angeles Clippers","54","13010",".443","13.7",NA,".624",".256",".205",".102",".061",".376",NA,".509",".652",".414",".425",".375",".332",NA,".507",".811",NA,".053","233",NA,".284","736",NA,".223",".333"
