"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","80","19225",".469","14.9",NA,".611",".246",".161",".110",".094",".389",NA,".530",".669",".436",".446",".425",".374",NA,".533",".733",NA,".060","395",NA,".233","896",NA,".221",".422",NA,"14","1"
"3","2","Boston Celtics","81","19665",".465","15.2",NA,".576",".216",".202",".082",".076",".424",NA,".545",".739",".447",".409",".401",".356",NA,".510",".814",NA,".057","361",NA,".276","1129",NA,".230",".388",NA,"10","0"
"4","3","Brooklyn Nets","80","19275",".473","14.0",NA,".640",".246",".165",".134",".095",".360",NA,".536",".654",".443",".475",".477",".361",NA,".540",".761",NA,".052","324",NA,".251","955",NA,".234",".389",NA,"7","0"
"5","4","Chicago Bulls","80","19250",".479","13.9",NA,".667",".256",".151",".128",".131",".333",NA,".535",".676",".454",".453",".435",".366",NA,".478",".853",NA,".050","311",NA,".245","985",NA,".274",".417",NA,"18","1"
"6","5","Charlotte Hornets","80","19400",".465","13.9",NA,".582",".289",".178",".069",".047",".418",NA,".540",".688",".383",".403",".422",".362",NA,".557",".861",NA,".078","513",NA,".285","1112",NA,".287",".365",NA,"20","0"
"7","6","Cleveland Cavaliers","80","19250",".468","13.7",NA,".613",".285",".180",".091",".056",".387",NA,".540",".695",".396",".429",".398",".353",NA,".557",".821",NA,".079","481",NA,".243","919",NA,".234",".333",NA,"9","1"
"8","7","Dallas Mavericks","80","19275",".460","15.3",NA,".563",".205",".176",".109",".072",".437",NA,".548",".736",".448",".453",".399",".346",NA,".500",".783",NA,".059","347",NA,".208","851",NA,".262",".392",NA,"14","0"
"9","8","Denver Nuggets","81","19540",".482","14.4",NA,".585",".236",".204",".073",".071",".415",NA,".574",".744",".479",".436",".427",".353",NA,".583",".858",NA,".059","366",NA,".265","1112",NA,".266",".386",NA,"23","0"
"10","9","Detroit Pistons","80","19300",".431","14.0",NA,".612",".247",".210",".080",".074",".388",NA,".496",".644",".421",".353",".372",".328",NA,".494",".894",NA,".040","253",NA,".305","1161",NA,".268",".365",NA,"19","0"
"11","10","Golden State Warriors","80","19250",".468","15.6",NA,".543",".203",".203",".069",".069",".457",NA,".557",".712",".512",".406",".379",".363",NA,".597",".800",NA,".058","368",NA,".281","1158",NA,".216",".337",NA,"24","1"
"12","11","Houston Rockets","80","19275",".455","14.2",NA,".552",".300",".180",".037",".034",".448",NA,".541",".687",".382",".320",".350",".348",NA,".502",".786",NA,".089","533",NA,".300","1115",NA,".174",".351",NA,"17","0"
"13","12","Indiana Pacers","80","19400",".463","14.1",NA,".605",".265",".178",".093",".069",".395",NA,".541",".677",".455",".425",".400",".342",NA,".508",".860",NA,".044","285",NA,".304","1281",NA,".251",".376",NA,"25","0"
"14","13","Los Angeles Clippers","80","19300",".456","14.8",NA,".610",".209",".183",".119",".100",".390",NA,".512",".689",".449",".435",".346",".370",NA,".500",".809",NA,".052","313",NA,".212","814",NA,".213",".403",NA,"17","0"
"15","14","Los Angeles Lakers","80","19475",".469","14.0",NA,".613",".277",".162",".088",".086",".387",NA,".545",".709",".420",".408",".397",".348",NA,".476",".825",NA,".061","388",NA,".310","1292",NA,".231",".375",NA,"5","0"
"16","15","Memphis Grizzlies","80","19300",".461","12.9",NA,".656",".264",".236",".111",".045",".344",NA,".519",".674",".421",".411",".385",".351",NA,".501",".851",NA,".056","375",NA,".274","1142",NA,".232",".367",NA,"14","0"
"17","16","Miami Heat","80","19375",".466","14.9",NA,".579",".225",".182",".106",".066",".421",NA,".530",".692",".435",".439",".386",".379",NA,".540",".854",NA,".050","298",NA,".237","919",NA,".300",".418",NA,"22","0"
"18","17","Milwaukee Bucks","80","19275",".468","15.1",NA,".568",".231",".163",".104",".070",".432",NA,".545",".720",".420",".449",".396",".366",NA,".458",".789",NA,".048","305",NA,".248","1041",NA,".240",".394",NA,"9","0"
"19","18","Minnesota Timberwolves","81","19540",".457","14.6",NA,".545",".266",".173",".059",".047",".455",NA,".540",".677",".413",".433",".365",".358",NA,".518",".796",NA,".066","426",NA,".277","1113",NA,".222",".394",NA,"19","0"
"20","19","New Orleans Pelicans","80","19275",".457","13.6",NA,".636",".266",".188",".100",".081",".364",NA,".528",".670",".425",".457",".390",".333",NA,".531",".876",NA,".055","346",NA,".291","1097",NA,".242",".367",NA,"18","2"
