"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","53","12720",".467","14.8",NA,".592",".255",".157",".096",".084",".408",NA,".539",".686",".421",".467",".399",".361",NA,".516",".840",NA,".060","246",NA,".249","666",NA,".239",".375"
"3","2","Boston Celtics","55","13400",".433","15.4",NA,".603",".189",".214",".102",".097",".397",NA,".493",".709",".395",".396",".392",".341",NA,".462",".798",NA,".046","206",NA,".258","645",NA,".210",".364"
"4","3","Brooklyn Nets","53","12770",".446","14.2",NA,".600",".269",".162",".092",".077",".400",NA,".523",".668",".394",".419",".412",".331",NA,".498",".782",NA,".053","222",NA,".276","735",NA,".240",".346"
"5","4","Chicago Bulls","54","12985",".467","13.5",NA,".635",".287",".175",".093",".079",".365",NA,".525",".667",".412",".403",".399",".367",NA,".519",".827",NA,".055","237",NA,".288","750",NA,".225",".432"
"6","5","Charlotte Hornets","55","13300",".463","14.7",NA,".564",".253",".172",".080",".058",".436",NA,".543",".687",".431",".406",".439",".359",NA,".518",".826",NA,".070","295",NA,".257","698",NA,".260",".377"
"7","6","Cleveland Cavaliers","54","12960",".440","13.8",NA,".616",".293",".159",".090",".074",".384",NA,".505",".601",".423",".423",".406",".336",NA,".508",".813",NA,".058","234",NA,".273","672",NA,".252",".354"
"8","7","Dallas Mavericks","54","13035",".454","14.0",NA,".623",".237",".202",".110",".074",".377",NA,".525",".692",".434",".431",".375",".337",NA,".517",".831",NA,".057","224",NA,".252","665",NA,".256",".381"
"9","8","Denver Nuggets","53","12770",".467","14.3",NA,".602",".224",".212",".098",".068",".398",NA,".550",".733",".467",".442",".360",".341",NA,".524",".822",NA,".058","237",NA,".263","714",NA,".238",".368"
"10","9","Detroit Pistons","53","12770",".472","13.9",NA,".617",".250",".214",".085",".068",".383",NA,".536",".668",".466",".419",".419",".369",NA,".539",".820",NA,".061","251",NA,".282","717",NA,".256",".413"
"11","10","Golden State Warriors","54","13010",".429","14.8",NA,".583",".178",".256",".085",".064",".417",NA,".500",".681",".439",".408",".359",".330",NA,".489",".832",NA,".046","199",NA,".273","679",NA,".239",".382"
"12","11","Houston Rockets","53","12745",".478","14.3",NA,".582",".275",".163",".081",".062",".418",NA,".568",".703",".447",".468",".422",".353",NA,".497",".800",NA,".071","296",NA,".262","724",NA,".238",".387"
"13","12","Indiana Pacers","55","13350",".468","13.7",NA,".641",".249",".205",".109",".078",".359",NA,".532",".674",".452",".439",".422",".354",NA,".488",".787",NA,".060","253",NA,".277","736",NA,".219",".381"
"14","13","Los Angeles Clippers","55","13250",".445","13.7",NA,".623",".253",".207",".102",".062",".377",NA,".511",".654",".419",".421",".377",".335",NA,".506",".809",NA,".052","235",NA,".281","747",NA,".223",".338"
"15","14","Los Angeles Lakers","54","13185",".454","14.1",NA,".595",".264",".183",".087",".061",".405",NA,".529",".703",".398",".388",".374",".344",NA,".532",".843",NA,".061","266",NA,".270","748",NA,".201",".362"
"16","15","Memphis Grizzlies","55","13275",".452","14.2",NA,".598",".265",".169",".101",".062",".402",NA,".515",".653",".389",".437",".401",".358",NA,".546",".823",NA,".062","262",NA,".264","675",NA,".172",".403"
"17","16","Miami Heat","55","13325",".443","15.5",NA,".538",".214",".174",".093",".059",".462",NA,".526",".695",".433",".405",".379",".346",NA,".510",".840",NA,".046","183",NA,".236","621",NA,".267",".373"
"18","17","Milwaukee Bucks","55","13250",".443","15.7",NA,".540",".220",".164",".089",".068",".460",NA,".528",".686",".422",".425",".411",".342",NA,".510",".827",NA,".044","194",NA,".245","677",NA,".214",".359"
"19","18","Minnesota Timberwolves","53","12795",".452","14.6",NA,".561",".252",".163",".083",".062",".439",NA,".533",".683",".416",".388",".425",".348",NA,".558",".847",NA,".068","280",NA,".264","650",NA,".288",".387"
"20","19","New Orleans Pelicans","53","12770",".468","14.8",NA,".588",".227",".174",".104",".083",".412",NA,".538",".694",".458",".460",".381",".367",NA,".506",".816",NA,".044","181",NA,".250","655",NA,".222",".430"
"21","20","New York Knicks","54","13035",".441","14.8",NA,".564",".264",".138",".087",".075",".436",NA,".515",".651",".397",".441",".344",".344",NA,".529",".846",NA,".055","232",NA,".263","651",NA,".240",".360"
"22","21","Oklahoma City Thunder","53","12770",".447","15.0",NA,".570",".205",".209",".086",".069",".430",NA,".525",".679",".453",".456",".372",".343",NA,".521",".850",NA,".054","209",NA,".265","682",NA,".255",".395"
"23","22","Orlando Magic","55","13225",".460","14.6",NA,".601",".220",".193",".102",".086",".399",NA,".525",".650",".463",".453",".432",".363",NA,".502",".835",NA,".052","232",NA,".255","666",NA,".232",".388"
"24","23","Philadelphia 76ers","53","12820",".450","14.0",NA,".619",".252",".188",".110",".070",".381",NA,".519",".688",".396",".386",".444",".340",NA,".506",".800",NA,".062","253",NA,".262","663",NA,".206",".373"
"25","24","Phoenix Suns","53","12745",".440","14.6",NA,".616",".200",".227",".101",".088",".384",NA,".506",".672",".450",".417",".370",".336",NA,".482",".777",NA,".042","173",NA,".262","679",NA,".191",".349"
"26","25","Portland Trail Blazers","54","12985",".474","14.5",NA,".574",".264",".165",".083",".063",".426",NA,".550",".683",".460",".390",".442",".370",NA,".536",".835",NA,".056","231",NA,".254","704",NA,".282",".405"
"27","26","Sacramento Kings","55","13275",".475","13.7",NA,".626",".250",".211",".094",".071",".374",NA,".544",".709",".437",".423",".438",".359",NA,".480",".801",NA,".059","267",NA,".282","797",NA,".209",".384"
"28","27","San Antonio Spurs","54","13035",".464","13.5",NA,".637",".270",".203",".093",".071",".363",NA,".527",".652",".427",".442",".447",".353",NA,".467",".818",NA,".060","252",NA,".307","797",NA,".194",".408"
"29","28","Toronto Raptors","52","12605",".459","14.4",NA,".591",".237",".196",".096",".061",".409",NA,".532",".706",".404",".442",".408",".354",NA,".531",".866",NA,".057","220",NA,".265","648",NA,".305",".373"
"30","29","Utah Jazz","54","12960",".452","14.5",NA,".623",".198",".220",".120",".085",".377",NA,".519",".699",".439",".444",".411",".342",NA,".482",".777",NA,".047","200",NA,".251","691",NA,".201",".362"
"31","30","Washington Wizards","53","12820",".456","14.1",NA,".651",".199",".247",".118",".087",".349",NA,".512",".704",".437",".429",".399",".353",NA,".482",".804",NA,".057","228",NA,".263","687",NA,".191",".368"
"32","","League Average","54","12998",".455","14.4",NA,".599",".241",".191",".096",".072",".401",NA,".526",".679",".430",".426",".402",".349",NA,".508",".821",NA,".056","233",NA,".265","695",NA,".233",".379"
