"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.1","38","13","38","13","8.27","-0.17","8.11","111.5","103.1","+8.4","98.6",".237",".462",".579",NA,".549","14.1","23.3",".180",NA,".493","13.6","79.0",".193",NA,"Chase Center","505,792","18,064"
"3","2","Phoenix Suns","27.7","40","9","36","13","7.90","-0.15","7.75","113.3","105.4","+7.9","99.4",".223",".354",".574",NA,".542","11.9","22.9",".177",NA,".502","13.2","76.8",".176",NA,"Phoenix Suns Arena","407,106","15,658"
"4","3","Utah Jazz","29.7","30","21","34","17","5.73","-0.30","5.43","115.8","110.0","+5.8","98.0",".268",".469",".591",NA,".557","13.0","24.1",".209",NA,".518","10.8","78.1",".155",NA,"Vivint Smart Home Arena","457,650","18,306"
"5","4","Cleveland Cavaliers","24.7","31","20","33","18","4.61","0.10","4.71","110.8","106.0","+4.8","96.4",".242",".398",".567",NA,".536","13.7","23.9",".183",NA,".506","12.6","76.2",".156",NA,"Quicken Loans Arena","449,430","17,977"
"6","5","Miami Heat","28.1","32","19","32","19","3.86","-0.42","3.44","112.6","108.6","+4.0","95.6",".236",".424",".574",NA,".539","13.6","25.3",".191",NA,".526","14.1","78.4",".202",NA,"FTX Arena","470,904","19,621"
"7","6","Memphis Grizzlies","24.0","35","18","33","20","3.64","0.30","3.94","112.1","108.5","+3.6","99.4",".236",".349",".546",NA,".515","11.6","29.0",".174",NA,".524","13.7","77.9",".185",NA,"FedEx Forum","424,377","15,156"
"8","7","Boston Celtics","26.1","27","25","32","20","3.42","-0.05","3.37","110.3","106.8","+3.5","96.4",".238",".416",".558",NA,".520","12.7","23.8",".194",NA,".505","12.6","77.9",".180",NA,"TD Garden","498,056","18,447"
"9","8","Milwaukee Bucks","28.4","31","21","31","21","2.92","-0.70","2.23","112.2","109.3","+2.9","99.2",".245",".442",".568",NA,".534","12.4","23.1",".191",NA,".521","12.1","77.7",".164",NA,"Fiserv Forum","469,386","17,385"
"10","9","Dallas Mavericks","26.7","29","22","30","21","2.67","-0.09","2.58","110.1","107.3","+2.8","96.0",".238",".426",".557",NA,".524","11.6","21.0",".183",NA,".518","12.6","79.1",".177",NA,"American Airlines Center","489,336","19,573"
"11","10","Philadelphia 76ers","26.5","31","19","29","21","2.36","-0.65","1.71","111.4","109.0","+2.4","96.0",".256",".365",".569",NA,".529","11.8","19.8",".208",NA,".515","12.4","76.1",".182",NA,"Wells Fargo Center","487,815","20,326"
"12","11","Denver Nuggets","27.6","28","21","28","21","2.14","-0.05","2.10","112.0","109.8","+2.2","97.0",".216",".419",".575",NA,".545","12.9","21.1",".168",NA,".532","12.4","78.3",".177",NA,"Ball Arena","356,707","16,214"
"13","12","Brooklyn Nets","29.5","29","20","27","22","1.82","-0.47","1.34","112.3","110.4","+1.9","99.2",".240",".355",".572",NA,".534","12.7","23.2",".197",NA,".506","11.3","75.8",".192",NA,"Barclays Center","427,424","17,097"
"14","13","Chicago Bulls","26.2","31","18","27","22","1.82","-0.59","1.23","112.8","111.0","+1.8","98.4",".239",".348",".578",NA,".542","12.1","20.5",".194",NA,".531","12.6","78.1",".194",NA,"United Center","500,070","20,836"
"15","14","Minnesota Timberwolves","24.0","25","25","27","23","0.98","0.46","1.44","111.0","110.0","+1.0","99.9",".235",".454",".553",NA,".521","12.8","25.8",".179",NA,".530","14.8","74.8",".226",NA,"Target Center","372,244","15,510"
"16","15","Toronto Raptors","24.6","25","23","25","23","0.94","0.42","1.36","111.2","110.2","+1.0","95.8",".226",".387",".537",NA,".505","11.3","27.9",".170",NA,".533","14.8","75.0",".202",NA,"Scotiabank Arena","311,611","12,464"
"17","16","Atlanta Hawks","26.1","24","26","25","25","0.28","0.08","0.36","114.3","114.1","+0.2","97.5",".251",".383",".575",NA,".538","11.3","22.4",".201",NA,".538","11.1","77.9",".172",NA,"State Farm Arena","416,707","16,027"
"18","17","Charlotte Hornets","25.7","28","23","25","26","-0.14","-0.17","-0.30","112.8","112.9","-0.1","100.7",".229",".414",".565",NA,".538","11.4","22.4",".168",NA,".542","13.3","75.5",".190",NA,"Spectrum Center","369,500","16,795"
"19","18","San Antonio Spurs","24.9","19","32","25","26","-0.10","0.07","-0.03","110.8","110.9","-0.1","99.8",".194",".336",".548",NA,".523","11.0","24.1",".143",NA,".527","12.1","75.3",".162",NA,"AT&T Center","376,054","14,464"
"20","19","New York Knicks","26.4","24","27","25","26","-0.55","-0.32","-0.86","108.9","109.5","-0.6","95.2",".255",".429",".548",NA,".514","12.5","24.4",".191",NA,".517","12.0","78.5",".187",NA,"Madison Square Garden (IV)","489,990","18,148"
"21","20","Los Angeles Clippers","27.5","26","27","25","28","-0.68","0.11","-0.57","107.4","108.1","-0.7","98.4",".223",".396",".554",NA,".520","13.0","20.1",".176",NA,".505","12.4","74.2",".163",NA,"Crypto.com Arena","440,293","16,307"
"22","21","Los Angeles Lakers","30.8","24","27","23","28","-1.61","-0.57","-2.18","108.8","110.3","-1.5","100.4",".244",".389",".561",NA,".532","13.0","20.8",".179",NA,".526","12.9","76.0",".194",NA,"Crypto.com Arena","504,991","18,703"
"23","22","Indiana Pacers","26.9","19","33","23","29","-1.87","0.55","-1.32","110.7","112.6","-1.9","97.2",".239",".400",".556",NA,".523","12.8","24.9",".183",NA,".533","11.9","77.3",".204",NA,"Gainbridge Fieldhouse","361,034","13,886"
"24","23","Washington Wizards","26.1","23","26","21","28","-2.47","0.19","-2.28","109.7","112.2","-2.5","97.3",".260",".361",".561",NA,".524","12.2","21.0",".202",NA,".516","10.7","76.9",".202",NA,"Capital One Arena","381,609","15,264"
"25","24","Portland Trail Blazers","27.0","21","30","19","32","-3.98","0.77","-3.21","110.5","114.5","-4.0","97.9",".253",".440",".564",NA,".530","12.6","22.2",".194",NA,".553","12.3","78.7",".194",NA,"Moda Center","455,315","16,864"
"26","25","New Orleans Pelicans","25.7","18","32","18","32","-4.38","0.67","-3.71","108.2","112.7","-4.5","96.8",".254",".377",".539",NA,".499","12.7","25.8",".200",NA,".543","12.3","78.8",".193",NA,"Smoothie King Center","369,183","15,383"
"27","26","Sacramento Kings","25.5","18","34","17","35","-5.46","0.16","-5.31","109.1","114.5","-5.4","99.6",".249",".381",".551",NA,".517","12.3","22.8",".187",NA,".540","11.6","75.1",".179",NA,"Golden 1 Center","381,792","13,635"
"28","27","Oklahoma City Thunder","22.8","15","34","14","35","-6.76","0.18","-6.58","102.6","109.5","-6.9","97.9",".215",".423",".516",NA,".482","12.0","21.5",".164",NA,".520","12.0","76.3",".161",NA,"Paycom Center","347,864","13,915"
"29","28","Orlando Magic","23.6","11","40","13","38","-7.84","0.09","-7.75","103.9","111.8","-7.9","98.5",".227",".411",".534",NA,".499","13.4","20.5",".178",NA,".532","12.2","76.8",".196",NA,"Amway Center","343,688","14,943"
"30","29","Houston Rockets","24.8","14","36","13","37","-8.66","0.25","-8.41","107.0","115.6","-8.6","101.0",".288",".448",".560",NA,".528","14.9","21.8",".206",NA,".549","12.1","75.5",".199",NA,"Toyota Center","356,292","15,491"
"31","30","Detroit Pistons","23.5","12","37","11","38","-9.29","0.31","-8.98","103.2","112.5","-9.3","98.8",".252",".399",".525",NA,".485","13.0","22.1",".196",NA,".544","13.8","76.2",".212",NA,"Little Caesars Arena","341,938","14,867"
"32","","League Average","26.3","","","25","25","0.00","0.00","0.00","110.2","110.2","","98.1",".240",".402",".558",NA,".525","12.5","23.1",".185",NA,".525","12.5","76.9",".185",NA,"","418,805","16,575"
