"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",68,242.9,42.3,92,0.46,13.8,38.5,0.359,28.5,53.5,0.533,16.1,21.9,0.736,11,34.1,45.1,27.3,8.7,4.8,13.4,20.1,114.6
"2",2,"Minnesota Timberwolves",69,241.4,41.3,91.2,0.453,14.7,41.7,0.352,26.6,49.4,0.538,17.4,22.6,0.771,11.4,33.2,44.7,25.5,8.8,5.8,14.5,21.8,114.6
"3",3,"Milwaukee Bucks",68,240.7,41.3,89.2,0.463,14.3,39,0.366,27,50.1,0.539,17.6,22.8,0.774,10.4,36.4,46.8,23.7,7.6,4,13.4,18.3,114.5
"4",4,"Memphis Grizzlies",68,241.1,43.1,93.9,0.459,11,32.4,0.34,32.1,61.5,0.521,17,23.3,0.73,14.1,35.2,49.3,25.3,9.9,6.5,13.2,19.6,114.3
"5",5,"Utah Jazz",67,240.4,40.7,86.1,0.473,14.7,40.4,0.363,26,45.7,0.57,17.8,22.9,0.775,10.5,35.8,46.3,22.5,7.1,4.9,14.2,19,113.9
"6",6,"Phoenix Suns",67,240.4,43,89.5,0.481,11.5,31.8,0.363,31.5,57.7,0.546,16,20.1,0.796,9.7,35.8,45.5,27.1,8.6,4.4,13,19.3,113.6
"7",7,"San Antonio Spurs",68,241.8,43.5,93.2,0.467,11,31.4,0.35,32.6,61.8,0.527,14.4,19.5,0.741,11.1,34.3,45.4,28,7.6,5,12.7,18.2,112.5
"8",8,"Atlanta Hawks",66,240.4,41.2,87.9,0.468,12.5,33.6,0.371,28.7,54.3,0.528,17.7,22,0.805,9.9,34.2,44.1,24.3,6.8,4.4,12,18.6,112.5
"9",9,"Chicago Bulls",67,240.4,42.1,87.1,0.483,10.9,29.1,0.375,31.2,58,0.538,17.2,21.1,0.815,8.6,34.4,43,24.1,7.2,4.4,13,18.8,112.3
"10",10,"Brooklyn Nets",67,240.7,41.5,88.5,0.469,11.4,31.9,0.356,30.1,56.6,0.532,17,21.2,0.799,10.2,34,44.2,24.9,7,5.4,13.8,20.1,111.4
"11",11,"Golden State Warriors",68,240.7,40.7,86.8,0.469,14.5,40,0.363,26.2,46.8,0.56,15.4,20.3,0.763,9.7,35.7,45.5,27.4,9.2,4.7,15,20.6,111.4
